"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
3710160,"       (2015 CX12)",,Y,Y,0.184,0.6099,2.003,0.781,5.74,195.90,227.53,169.17,3.22,2460114.04
3710228,"       (2015 CV13)",,Y,Y,0.437,0.2883,1.338,0.952,13.04,124.79,132.53,6.83,1.72,2460589.76
3710245,"       (2015 CZ13)",,Y,Y,,0.7635,2.802,0.663,19.05,145.70,77.61,2.89,4.94,2460586.77
3710913,"       (2015 DB1)",,Y,Y,,0.2546,1.155,0.861,38.12,144.42,242.42,12.45,1.45,2460584.82
3711779,"       (2015 DH155)",,Y,Y,,0.6993,2.449,0.737,12.47,169.82,262.11,204.61,4.16,2461204.73
3711785,"       (2015 DP155)",,Y,Y,,0.2245,1.317,1.022,5.44,89.09,152.30,85.55,1.61,2460469.27
3712420,"       (2015 DU180)",,Y,Y,0.435,0.9220,1.926,0.150,4.86,51.75,315.42,240.57,3.70,2460924.48
3712625,"       (2015 DC200)",,Y,Y,,0.8656,1.776,0.239,3.05,224.01,85.87,349.83,3.31,2460624.93
3712670,"       (2015 DN215)",,Y,Y,0.535,0.7485,2.74,0.689,10.36,3.22,80.73,55.89,4.79,2460343.30
3712675,"       (2015 DR215)",,Y,Y,,0.4715,0.6666,0.352,4.06,314.57,42.70,85.35,0.98,2460553.36
3713283,"       (2015 EK7)",,Y,Y,,0.3667,1.511,0.957,3.43,140.76,125.81,1.20,2.06,2460598.23
3713941,"       (2015 EO61)",,Y,Y,,0.7343,1.455,0.387,1.98,43.63,261.37,118.73,2.52,2460388.98
3713304,"       (2015 FJ)",,Y,Y,,0.7844,2.584,0.557,8.25,189.40,100.06,91.28,4.61,2460215.75
3713308,"       (2015 FL)",,Y,Y,0.232,0.6515,2.686,0.936,15.71,11.66,224.79,52.27,4.44,2460367.02
3713991,"       (2015 FF35)",,Y,Y,,0.5214,1.883,0.901,8.82,235.14,35.44,206.79,2.86,2461002.14
3714454,"       (2015 FS117)",,Y,Y,,0.2544,1.187,0.885,28.37,356.56,54.19,245.51,1.49,2460750.65
3714488,"       (2015 FN118)",,Y,Y,,0.5446,1.652,0.752,27.67,195.08,247.64,234.22,2.55,2460871.55
3714553,"       (2015 FT118)",,Y,Y,,0.1907,1.167,0.945,21.10,196.74,154.62,78.04,1.39,2460500.67
3714579,"       (2015 FE120)",,Y,Y,,0.5491,2.256,1.017,22.66,21.36,189.48,285.60,3.49,2460856.30
3715094,"       (2015 FV284)",,Y,Y,,0.4891,1.782,0.911,8.82,317.14,148.51,32.77,2.65,2460521.37
3715376,"       (2015 FS332)",,Y,Y,,0.4746,1.807,0.949,35.13,193.51,135.79,273.72,2.66,2460813.08
3715498,"       (2015 GS)",,Y,Y,0.262,0.4769,1.727,0.903,11.85,113.79,20.98,93.52,2.55,2460385.13
3715507,"       (2015 GY)",,Y,Y,0.143,0.2001,1.068,0.854,11.81,207.76,108.67,128.19,1.28,2460456.95
3715906,"       (2015 GZ13)",,Y,Y,,0.5982,1.821,0.732,33.51,44.58,282.40,265.12,2.91,2460837.13
3717082,"       (2015 HR11)",,Y,Y,,0.1692,1.214,1.009,31.16,210.69,198.05,171.61,1.42,2460367.58
3718322,"       (2015 HY116)",,Y,Y,,0.6935,2.727,0.836,14.12,92.72,248.45,352.69,4.62,2460633.90
3718828,"       (2015 HX176)",,Y,Y,,0.8043,3.88,0.759,28.44,15.56,123.95,89.01,7.00,2459910.33
3720869,"       (2015 HV182)",,Y,Y,,0.2805,1.405,1.011,0.68,155.20,254.93,33.33,1.80,2460544.19
3719175,"       (2015 JV)",,Y,Y,,0.6719,2.451,0.804,7.23,87.15,74.04,175.87,4.10,2459915.93
3719183,"       (2015 JD1)",,Y,Y,,0.2225,1.218,0.947,19.14,221.15,128.11,279.02,1.49,2460710.98
3719203,"       (2015 JY1)",,Y,Y,,0.5049,2.114,1.047,8.51,267.98,16.77,6.45,3.18,2460580.38
