"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
54318581,"       (2022 UC5)",,Y,N,,0.6590,2.556,0.872,1.88,74.20,17.71,163.01,4.24,2459924.49
54318582,"       (2022 UD5)",,Y,N,,0.1882,1.048,0.850,10.47,206.71,35.61,83.95,1.24,2460509.17
54318583,"       (2022 UE5)",,Y,N,,0.4306,1.667,0.949,4.72,204.76,245.32,308.25,2.39,2460713.55
54318584,"       (2022 UJ5)",,Y,N,,0.3773,1.282,0.798,30.08,220.43,45.74,200.31,1.77,2460835.63
54318586,"       (2022 UK5)",,Y,N,,0.2928,1.382,0.977,2.05,272.58,162.39,55.10,1.79,2460509.71
54318587,"       (2022 UL5)",,Y,N,,0.7069,2.62,0.768,12.20,109.82,160.55,19.19,4.47,2459786.94
54318588,"       (2022 UM5)",,Y,N,,0.5314,1.675,0.785,6.31,312.22,165.21,294.10,2.57,2460745.42
54318589,"       (2022 UN5)",,Y,N,,0.3510,1.289,0.836,5.04,30.69,74.53,86.84,1.74,2460471.59
54318590,"       (2022 UO5)",,Y,N,,0.5452,1.967,0.895,7.86,45.41,294.68,273.32,3.04,2460843.18
54318592,"       (2022 UP5)",,Y,N,,0.6143,2.584,0.997,2.36,132.87,217.42,7.07,4.17,2459842.71
54318594,"       (2022 UQ5)",,Y,N,,0.1362,1.452,1.254,34.67,212.37,98.81,107.49,1.65,2460409.74
54318593,"       (2022 UR5)",,Y,N,,0.3931,1.978,1.201,29.80,176.51,277.82,235.93,2.76,2460950.81
54318596,"       (2022 US5)",,Y,N,,0.1871,0.8667,0.705,15.77,26.09,162.47,14.85,1.03,2460588.34
54318597,"       (2022 UT5)",,Y,N,,0.5098,1.92,0.941,7.19,206.82,220.52,256.99,2.90,2460878.46
54319144,"       (2022 UV5)",,Y,N,,0.1633,1.011,0.846,9.77,207.93,283.96,260.97,1.18,2460702.59
54319145,"       (2022 UW5)",,Y,N,,0.2382,1.371,1.045,5.53,224.10,128.98,107.53,1.70,2460425.31
54319147,"       (2022 UX5)",,Y,N,,0.4198,1.577,0.915,8.93,43.56,280.01,30.67,2.24,2460538.90
54319148,"       (2022 UY5)",,Y,N,,0.5856,2.403,0.996,1.32,212.62,180.47,190.98,3.81,2461239.45
54319149,"       (2022 UZ5)",,Y,N,,0.5011,1.867,0.931,5.69,226.44,208.50,265.43,2.80,2460845.29
54319150,"       (2022 UA6)",,Y,N,,0.5415,1.993,0.914,8.10,27.86,318.15,265.68,3.07,2460869.78
54319151,"       (2022 UB6)",,Y,N,,0.7933,1.387,0.287,51.82,199.25,342.43,32.56,2.49,2460546.56
54319152,"       (2022 UC6)",,Y,N,,0.4705,1.322,0.700,22.49,106.02,67.57,12.41,1.94,2460581.36
54319153,"       (2022 UD6)",,Y,N,,0.2729,0.8463,0.615,8.73,208.44,24.42,339.67,1.08,2460616.56
54319155,"       (2022 UE6)",,Y,N,,0.4531,2.288,1.251,5.19,178.23,221.08,201.43,3.32,2461157.26
54319154,"       (2022 UF6)",,Y,N,,0.4467,0.7608,0.421,10.67,171.67,40.98,149.26,1.10,2459769.01
54319156,"       (2022 UG6)",,Y,N,,0.6414,2.365,0.848,2.65,23.61,305.33,12.09,3.88,2459830.91
54319157,"       (2022 UH6)",,Y,N,,0.5323,2.606,1.219,9.18,148.13,237.50,171.85,3.99,2459867.03
54319158,"       (2022 UJ6)",,Y,N,,0.3409,1.669,1.100,5.66,255.75,155.19,320.09,2.24,2460687.83
54319159,"       (2022 UK6)",,Y,N,,0.3851,1.326,0.815,11.35,22.38,283.24,39.13,1.84,2459809.91
54319161,"       (2022 UL6)",,Y,N,,0.1902,1.262,1.022,6.98,48.73,356.85,133.83,1.50,2460407.97
54319160,"       (2022 UM6)",,Y,N,,0.3245,1.518,1.026,10.17,210.11,128.23,23.38,2.01,2459826.12
54319162,"       (2022 UN6)",,Y,N,,0.4617,1.851,0.997,6.75,20.03,334.91,12.22,2.71,2459844.27
54319163,"       (2022 UO6)",,Y,N,,0.5747,1.997,0.849,0.98,182.02,271.09,341.82,3.14,2459925.55
54319164,"       (2022 UP6)",,Y,N,,0.2687,1.211,0.886,10.12,22.49,298.72,39.46,1.54,2459819.14
54319166,"       (2022 UQ6)",,Y,N,,0.3985,1.661,0.999,14.25,206.68,179.73,335.20,2.32,2460654.34
54319167,"       (2022 UR6)",,Y,N,,0.3410,1.701,1.121,23.97,24.99,19.12,353.36,2.28,2459887.45
54319165,"       (2022 US6)",,Y,N,,0.3059,1.25,0.868,2.82,18.37,88.03,105.56,1.63,2460450.79
54319168,"       (2022 UU6)",,Y,N,,0.4432,1.736,0.966,28.63,201.54,146.82,16.79,2.50,2459835.55
54319169,"       (2022 UW6)",,Y,N,,0.2867,1.427,1.018,3.06,230.95,159.41,58.30,1.84,2460499.71
54319451,"       (2022 UA7)",,Y,N,,0.5357,2.33,1.082,4.62,27.13,17.71,356.20,3.58,2459887.21
54319452,"       (2022 UB7)",,Y,N,,0.3294,1.376,0.923,17.01,197.71,129.03,116.96,1.83,2460409.04
54319453,"       (2022 UC7)",,Y,N,,0.5365,2.104,0.975,10.67,209.78,200.81,228.56,3.23,2461007.39
54319454,"       (2022 UD7)",,Y,N,,0.4348,1.068,0.604,13.33,29.70,108.10,229.27,1.53,2460746.96
54319455,"       (2022 UK7)",,Y,Y,,0.1722,1.144,0.947,44.36,214.13,53.36,339.65,1.34,2460625.76
54319459,"       (2022 UM7)",,Y,N,,0.5920,2.455,1.002,4.67,212.59,160.76,189.14,3.91,2461267.42
54319458,"       (2022 UN7)",,Y,N,,0.6392,2.278,0.822,20.44,32.24,92.63,183.80,3.73,2461215.01
54319457,"       (2022 UO7)",,Y,N,,0.5370,2.672,1.237,7.83,65.87,7.24,151.49,4.11,2459929.01
54319460,"       (2022 UP7)",,Y,N,,0.1033,1.143,1.025,2.40,58.20,310.07,242.39,1.26,2460746.25
54319461,"       (2022 UQ7)",,Y,N,,0.6679,1.317,0.437,11.77,209.64,64.94,146.43,2.20,2460375.92
54319462,"       (2022 UR7)",,Y,N,,0.3957,1.726,1.043,3.81,58.85,351.06,307.45,2.41,2460721.37
54319464,"       (2022 UU7)",,Y,N,,0.5919,2.275,0.928,5.30,164.33,176.70,11.19,3.62,2459836.56
54319463,"       (2022 UV7)",,Y,N,,0.6318,2.381,0.877,1.83,210.91,226.04,185.27,3.89,2461251.75
54319880,"       (2022 UZ7)",,Y,N,,0.3610,1.94,1.239,20.23,35.01,28.34,253.28,2.64,2460892.99
54319883,"       (2022 UA8)",,Y,N,,0.4169,1.637,0.955,8.27,203.65,134.75,20.14,2.32,2459833.70
54319882,"       (2022 UB8)",,Y,N,,0.6746,1.97,0.641,5.09,30.12,86.83,240.23,3.30,2460936.49
54319884,"       (2022 UC8)",,Y,N,,0.6154,2.578,0.991,8.78,30.58,11.67,170.11,4.16,2459886.16
54319881,"       (2022 UD8)",,Y,N,,0.1722,0.9381,0.777,10.82,194.31,5.67,261.02,1.10,2460691.74
54320171,"       (2022 UF8)",,Y,N,,0.4626,1.229,0.660,22.78,26.45,237.90,252.36,1.80,2460749.26
54320172,"       (2022 UG8)",,Y,N,,0.6452,1.866,0.662,21.89,215.29,78.60,24.25,3.07,2459812.75
54320173,"       (2022 UH8)",,Y,N,,0.4942,2.171,1.098,3.63,87.02,285.15,5.07,3.24,2459854.03
54320174,"       (2022 UJ8)",,Y,N,,0.6225,2.605,0.983,1.92,264.01,89.08,7.75,4.23,2459845.42
54320175,"       (2022 UK8)",,Y,N,,0.3880,1.685,1.031,38.26,215.11,266.63,277.81,2.34,2460782.90
54320176,"       (2022 UL8)",,Y,N,,0.3164,1.507,1.030,27.07,25.02,39.86,341.12,1.98,2459908.95
54320177,"       (2022 UM8)",,Y,N,,0.2091,1.533,1.213,6.83,271.45,107.41,20.08,1.85,2460561.82
54320178,"       (2022 UN8)",,Y,N,,0.5460,2.065,0.938,7.10,208.57,141.62,250.83,3.19,2460929.23
54320179,"       (2022 UP8)",,Y,N,,0.3382,1.466,0.971,7.99,138.18,310.27,13.92,1.96,2460575.42
54320180,"       (2022 UQ8)",,Y,N,,0.1069,1.145,1.023,1.08,21.65,19.49,213.39,1.27,2460782.77
